From Type;From Name;Edge Type;To Type;To Name;Weight;Label
Station;Porte de Clignancourt;Métro 4;Station;Raspail;1;Métro 4
Station;Raspail;Métro 4;Station;Réaumur - Sébastopol;1;Métro 4
Station;Réaumur - Sébastopol;Métro 4;Station;Saint-Germain-des-Prés;1;Métro 4
Station;Saint-Germain-des-Prés;Métro 4;Station;Saint-Michel;1;Métro 4
Station;Saint-Michel;Métro 4;Station;Saint-Placide;1;Métro 4
Station;Saint-Placide;Métro 4;Station;Saint-Sulpice;1;Métro 4
Station;Saint-Sulpice;Métro 4;Station;Simplon;1;Métro 4
Station;Simplon;Métro 4;Station;Strasbourg - Saint-Denis;1;Métro 4
Station;Strasbourg - Saint-Denis;Métro 4;Station;Vavin;1;Métro 4
Station;Bastille;Métro 5;Station;Bobigny Pablo Picasso;1;Métro 5
Station;Bobigny Pablo Picasso;Métro 5;Station;Bobigny-Pantin - Raymond Queneau;1;Métro 5
Station;Bobigny-Pantin - Raymond Queneau;Métro 5;Station;Bréguet-Sabin;1;Métro 5
Station;Bréguet-Sabin;Métro 5;Station;Campo-Formio;1;Métro 5
Station;Campo-Formio;Métro 5;Station;Eglise de Pantin;1;Métro 5
Station;Eglise de Pantin;Métro 5;Station;Gare d'Austerlitz;1;Métro 5
Station;Gare d'Austerlitz;Métro 5;Station;Gare de l'Est;1;Métro 5
Station;Gare de l'Est;Métro 5;Station;Gare du Nord;1;Métro 5
Station;Gare du Nord;Métro 5;Station;Hoche;1;Métro 5
Station;Hoche;Métro 5;Station;Jacques Bonsergent;1;Métro 5
Station;Jacques Bonsergent;Métro 5;Station;Jaurès;1;Métro 5
Station;Jaurès;Métro 5;Station;Laumière;1;Métro 5
Station;Laumière;Métro 5;Station;Oberkampf;1;Métro 5
Station;Oberkampf;Métro 5;Station;Ourcq;1;Métro 5
Station;Ourcq;Métro 5;Station;Place d'Italie;1;Métro 5
Station;Place d'Italie;Métro 5;Station;Porte de Pantin;1;Métro 5
Station;Porte de Pantin;Métro 5;Station;Quai de la Rapée;1;Métro 5
Station;Quai de la Rapée;Métro 5;Station;Richard-Lenoir;1;Métro 5
Station;Richard-Lenoir;Métro 5;Station;République;1;Métro 5
Station;République;Métro 5;Station;Saint-Marcel;1;Métro 5
Station;Saint-Marcel;Métro 5;Station;Stalingrad;1;Métro 5
Station;Bel-Air;Métro 6;Station;Bercy;1;Métro 6
Station;Bercy;Métro 6;Station;Bir-Hakeim;1;Métro 6
Station;Bir-Hakeim;Métro 6;Station;Boissière;1;Métro 6
Station;Boissière;Métro 6;Station;Cambronne;1;Métro 6
Station;Cambronne;Métro 6;Station;Charles de Gaulle - Etoile;1;Métro 6
Station;Charles de Gaulle - Etoile;Métro 6;Station;Chevaleret;1;Métro 6
Station;Chevaleret;Métro 6;Station;Corvisart;1;Métro 6
Station;Corvisart;Métro 6;Station;Daumesnil;1;Métro 6
Station;Daumesnil;Métro 6;Station;Denfert-Rochereau;1;Métro 6
Station;Denfert-Rochereau;Métro 6;Station;Dugommier;1;Métro 6
Station;Dugommier;Métro 6;Station;Dupleix;1;Métro 6
Station;Dupleix;Métro 6;Station;Edgar Quinet;1;Métro 6
Station;Edgar Quinet;Métro 6;Station;Glacière;1;Métro 6
Station;Glacière;Métro 6;Station;Kléber;1;Métro 6
Station;Kléber;Métro 6;Station;La Motte-Picquet - Grenelle;1;Métro 6
Station;La Motte-Picquet - Grenelle;Métro 6;Station;Montparnasse Bienvenue;1;Métro 6
Station;Montparnasse Bienvenue;Métro 6;Station;Nation;1;Métro 6
Station;Nation;Métro 6;Station;Nationale;1;Métro 6
Station;Nationale;Métro 6;Station;Passy;1;Métro 6
Station;Passy;Métro 6;Station;Pasteur;1;Métro 6
Station;Pasteur;Métro 6;Station;Picpus;1;Métro 6
Station;Picpus;Métro 6;Station;Place d'Italie;1;Métro 6
Station;Place d'Italie;Métro 6;Station;Quai de la Gare;1;Métro 6
Station;Quai de la Gare;Métro 6;Station;Raspail;1;Métro 6
Station;Raspail;Métro 6;Station;Saint-Jacques;1;Métro 6
Station;Saint-Jacques;Métro 6;Station;Sèvres-Lecourbe;1;Métro 6
Station;Sèvres-Lecourbe;Métro 6;Station;Trocadéro;1;Métro 6
Station;Bolivar;Métro 7B;Station;Botzaris;1;Métro 7B
Station;Botzaris;Métro 7B;Station;Buttes Chaumont;1;Métro 7B
Station;Cadet;Métro 7;Station;Censier - Daubenton;1;Métro 7
Station;Censier - Daubenton;Métro 7;Station;Chaussée d'Antin - La Fayette;1;Métro 7
Station;Chaussée d'Antin - La Fayette;Métro 7;Station;Château Landon;1;Métro 7
Station;Château Landon;Métro 7;Station;Châtelet;1;Métro 7
Station;Châtelet;Métro 7;Station;Corentin Cariou;1;Métro 7
Station;Corentin Cariou;Métro 7;Station;Crimée;1;Métro 7
Station;Fort d'Aubervilliers;Métro 7;Station;Gare de l'Est;1;Métro 7
Station;Jussieu;Métro 7;Station;La Courneuve - 8 Mai 1945;1;Métro 7
Station;La Courneuve - 8 Mai 1945;Métro 7;Station;Le Kremlin-Bicêtre;1;Métro 7
Station;Le Kremlin-Bicêtre;Métro 7;Station;Le Peletier;1;Métro 7
Station;Le Peletier;Métro 7;Station;Les Gobelins;1;Métro 7
Station;Les Gobelins;Métro 7;Station;Louis Blanc;1;Métro 7
Station;Mairie d'Ivry;Métro 7;Station;Maison Blanche;1;Métro 7
Station;Maison Blanche;Métro 7;Station;Opéra;1;Métro 7
Station;Opéra;Métro 7;Station;Palais Royal - Musée du Louvre;1;Métro 7
Station;Palais Royal - Musée du Louvre;Métro 7;Station;Pierre et Marie Curie;1;Métro 7
Station;Pierre et Marie Curie;Métro 7;Station;Place Monge;1;Métro 7
Station;Place Monge;Métro 7;Station;Place d'Italie;1;Métro 7
Station;Poissonnière;Métro 7;Station;Pont Marie (Cité des Arts);1;Métro 7
Station;Pont Marie (Cité des Arts);Métro 7;Station;Pont Neuf;1;Métro 7
Station;Pont Neuf;Métro 7;Station;Porte d'Italie;1;Métro 7
Station;Porte d'Italie;Métro 7;Station;Porte d'Ivry;1;Métro 7
Station;Porte d'Ivry;Métro 7;Station;Porte de Choisy;1;Métro 7
Station;Porte de Choisy;Métro 7;Station;Porte de la Villette;1;Métro 7
