station1;station2;connected;ligne
Sainte-Geneviève-des-Bois;Savigny-sur-Orge;True;RER C
Savigny-sur-Orge;Sermaise;True;RER C
Sermaise;Vauboyen;True;RER C
Vauboyen;Versailles Chantiers;True;RER C
Versailles Chantiers;Versailles Château Rive Gauche;True;RER C
Versailles Château Rive Gauche;Villeneuve-le-Roi;True;RER C
Villeneuve-le-Roi;Viroflay Rive Gauche;True;RER C
Viroflay Rive Gauche;Vitry-sur-Seine;True;RER C
Ballancourt;Boigneville;True;RER D
Boigneville;Boissise-le-Roi;True;RER D
Boissise-le-Roi;Boussy-Saint-Antoine;True;RER D
Boussy-Saint-Antoine;Boutigny;True;RER D
Boutigny;Brunoy;True;RER D
Brunoy;Buno - Gironville;True;RER D
Buno - Gironville;Cesson;True;RER D
Cesson;Chantilly - Gouvieux;True;RER D
Chantilly - Gouvieux;Châtelet les Halles;True;RER D
Châtelet les Halles;Combs-la-Ville - Quincy;True;RER D
Combs-la-Ville - Quincy;Corbeil-Essonnes;True;RER D
Corbeil-Essonnes;Creil;True;RER D
Creil;Créteil Pompadour;True;RER D
Créteil Pompadour;Essonnes Robinson;True;RER D
Essonnes Robinson;Evry - Courcouronnes;True;RER D
Evry - Courcouronnes;Evry - Val de Seine;True;RER D
Evry - Val de Seine;Gare de Lyon;True;RER D
Gare de Lyon;Gare du Nord;True;RER D
Gare du Nord;Garges - Sarcelles;True;RER D
Garges - Sarcelles;Goussainville;True;RER D
Goussainville;Grand Bourg;True;RER D
Grand Bourg;Grigny Centre;True;RER D
Grigny Centre;Juvisy;True;RER D
Juvisy;La Borne Blanche;True;RER D
La Borne Blanche;La Ferté-Alais;True;RER D
La Ferté-Alais;Le Bras de Fer;True;RER D
Le Bras de Fer;Le Coudray-Montceaux;True;RER D
Le Coudray-Montceaux;Le Mée;True;RER D
Le Mée;Le Plessis Chenet;True;RER D
Le Plessis Chenet;Le Vert de Maisons;True;RER D
Le Vert de Maisons;Les Noues;True;RER D
Les Noues;Lieusaint - Moissy;True;RER D
Lieusaint - Moissy;Louvres;True;RER D
Louvres;Maisons-Alfort - Alfortville;True;RER D
Maisons-Alfort - Alfortville;Maisse;True;RER D
Maisse;Malesherbes;True;RER D
Malesherbes;Melun;True;RER D
Melun;Mennecy;True;RER D
Mennecy;Montgeron - Crosne;True;RER D
Montgeron - Crosne;Moulin Galant;True;RER D
Moulin Galant;Orangis Bois de l'Epine;True;RER D
Orangis Bois de l'Epine;Orry-la-Ville - Coye;True;RER D
Orry-la-Ville - Coye;Pierrefitte - Stains;True;RER D
Pierrefitte - Stains;Ponthierry - Pringy;True;RER D
Ponthierry - Pringy;Ris-Orangis;True;RER D
Ris-Orangis;Saint-Denis;True;RER D
Saint-Denis;Saint-Fargeau;True;RER D
Saint-Fargeau;Savigny-le-Temple - Nandy;True;RER D
Savigny-le-Temple - Nandy;Stade de France Saint-Denis;True;RER D
Stade de France Saint-Denis;Survilliers - Fosses;True;RER D
Survilliers - Fosses;Vigneux-sur-Seine;True;RER D
Vigneux-sur-Seine;Villabé;True;RER D
Villabé;Villeneuve Triage;True;RER D
Villeneuve Triage;Villeneuve-Saint-Georges;True;RER D
Villeneuve-Saint-Georges;Villiers-le-Bel - Gonesse - Arnouville;True;RER D
Villiers-le-Bel - Gonesse - Arnouville;Viry-Châtillon;True;RER D
Viry-Châtillon;Vosves;True;RER D
Vosves;Yerres;True;RER D
Bondy;Chelles - Gournay;True;RER E
Chelles - Gournay;Emerainville - Pontault-Combault;True;RER E
Emerainville - Pontault-Combault;Gagny;True;RER E
Gagny;Gretz-Armainvilliers;True;RER E
Gretz-Armainvilliers;Haussmann Saint-Lazare;True;RER E
Haussmann Saint-Lazare;La Défense;True;RER E
La Défense;Le Chénay Gagny;True;RER E
Le Chénay Gagny;Le Raincy - Villemomble - Montfermeil;True;RER E
Le Raincy - Villemomble - Montfermeil;Les Boullereaux Champigny;True;RER E
Les Boullereaux Champigny;Les Yvris Noisy-le-Grand;True;RER E
Les Yvris Noisy-le-Grand;Magenta;True;RER E
Magenta;Nanterre-La-Folie;True;RER E
Nanterre-La-Folie;Neuilly Porte Maillot;True;RER E
Neuilly Porte Maillot;Nogent - Le Perreux;True;RER E
Nogent - Le Perreux;Noisy-le-Sec;True;RER E
Noisy-le-Sec;Ozoir-la-Ferrière;True;RER E
Ozoir-la-Ferrière;Pantin;True;RER E
Pantin;Roissy-en-Brie;True;RER E
Roissy-en-Brie;Rosa Parks;True;RER E
Rosa Parks;Rosny Bois Perrier;True;RER E
Rosny Bois Perrier;Rosny-sous-Bois;True;RER E
Rosny-sous-Bois;Tournan;True;RER E
Tournan;Vaires - Torcy;True;RER E
Vaires - Torcy;Val de Fontenay;True;RER E
Val de Fontenay;Villiers-sur-Marne - Le Plessis-Trévise;True;RER E
