station1;station2;connected;ligne
Edgar Quinet;Glacière;True;Métro 6
Glacière;Kléber;True;Métro 6
Kléber;La Motte-Picquet - Grenelle;True;Métro 6
La Motte-Picquet - Grenelle;Montparnasse Bienvenue;True;Métro 6
Montparnasse Bienvenue;Nation;True;Métro 6
Nation;Nationale;True;Métro 6
Nationale;Passy;True;Métro 6
Passy;Pasteur;True;Métro 6
Pasteur;Picpus;True;Métro 6
Picpus;Place d'Italie;True;Métro 6
Place d'Italie;Quai de la Gare;True;Métro 6
Quai de la Gare;Raspail;True;Métro 6
Raspail;Saint-Jacques;True;Métro 6
Saint-Jacques;Sèvres-Lecourbe;True;Métro 6
Sèvres-Lecourbe;Trocadéro;True;Métro 6
Bolivar;Botzaris;True;Métro 7B
Botzaris;Buttes Chaumont;True;Métro 7B
Cadet;Censier - Daubenton;True;Métro 7
Censier - Daubenton;Chaussée d'Antin - La Fayette;True;Métro 7
Chaussée d'Antin - La Fayette;Château Landon;True;Métro 7
Château Landon;Châtelet;True;Métro 7
Châtelet;Corentin Cariou;True;Métro 7
Corentin Cariou;Crimée;True;Métro 7
Fort d'Aubervilliers;Gare de l'Est;True;Métro 7
Jussieu;La Courneuve - 8 Mai 1945;True;Métro 7
La Courneuve - 8 Mai 1945;Le Kremlin-Bicêtre;True;Métro 7
Le Kremlin-Bicêtre;Le Peletier;True;Métro 7
Le Peletier;Les Gobelins;True;Métro 7
Les Gobelins;Louis Blanc;True;Métro 7
Mairie d'Ivry;Maison Blanche;True;Métro 7
Maison Blanche;Opéra;True;Métro 7
Opéra;Palais Royal - Musée du Louvre;True;Métro 7
Palais Royal - Musée du Louvre;Pierre et Marie Curie;True;Métro 7
Pierre et Marie Curie;Place Monge;True;Métro 7
Place Monge;Place d'Italie;True;Métro 7
Poissonnière;Pont Marie (Cité des Arts);True;Métro 7
Pont Marie (Cité des Arts);Pont Neuf;True;Métro 7
Pont Neuf;Porte d'Italie;True;Métro 7
Porte d'Italie;Porte d'Ivry;True;Métro 7
Porte d'Ivry;Porte de Choisy;True;Métro 7
Porte de Choisy;Porte de la Villette;True;Métro 7
Pyramides;Riquet;True;Métro 7
Riquet;Stalingrad;True;Métro 7
Stalingrad;Sully - Morland;True;Métro 7
Sully - Morland;Tolbiac;True;Métro 7
Tolbiac;Villejuif - Louis Aragon;True;Métro 7
Villejuif - Louis Aragon;Villejuif Léo Lagrange;True;Métro 7
Villejuif Léo Lagrange;Villejuif Paul Vaillant-Couturier;True;Métro 7
Balard;Bastille;True;Métro 8
Bastille;Bonne Nouvelle;True;Métro 8
Bonne Nouvelle;Boucicaut;True;Métro 8
Boucicaut;Charenton - Ecoles;True;Métro 8
Charenton - Ecoles;Chemin Vert;True;Métro 8
Chemin Vert;Commerce;True;Métro 8
Commerce;Concorde;True;Métro 8
Concorde;Créteil - L'Echat;True;Métro 8
Créteil - L'Echat;Créteil - Préfecture;True;Métro 8
Créteil - Préfecture;Créteil - Université;True;Métro 8
Créteil - Université;Daumesnil;True;Métro 8
Daumesnil;Ecole Militaire;True;Métro 8
Ecole Militaire;Ecole Vétérinaire de Maisons-Alfort;True;Métro 8
Ecole Vétérinaire de Maisons-Alfort;Faidherbe - Chaligny;True;Métro 8
Faidherbe - Chaligny;Filles du Calvaire;True;Métro 8
Filles du Calvaire;Félix Faure;True;Métro 8
Félix Faure;Grands Boulevards;True;Métro 8
Grands Boulevards;Invalides;True;Métro 8
Invalides;La Motte-Picquet - Grenelle;True;Métro 8
La Motte-Picquet - Grenelle;La Tour-Maubourg;True;Métro 8
La Tour-Maubourg;Ledru-Rollin;True;Métro 8
Ledru-Rollin;Liberté;True;Métro 8
